customer_id,age,city,employment_type,monthly_income_inr,credit_score,tenure_months,loan_purpose,loan_amount_inr,existing_loans,dti_ratio,is_default
CR200049,31,Mumbai,Business Owner,53040.33,568,12,Vehicle,268380.73,1,0.51,1
CR200050,32,Hyderabad,Salaried,194793.01,647,48,Business Expansion,800108.74,0,0.106,0
CR200051,36,Mumbai,Salaried,21009.67,564,48,Home Renovation,244496.91,3,0.371,0
CR200052,35,Kolkata,Freelancer,44771.74,594,12,Personal,464076.63,0,0.85,1
CR200053,49,Kolkata,Freelancer,28853.65,631,12,Home Renovation,384003.13,0,0.85,1
CR200054,30,Kolkata,Business Owner,184092.14,590,36,Medical,554005.85,1,0.133,0
CR200055,36,Ahmedabad,Self-Employed,68453.57,620,60,Business Expansion,450925.03,1,0.136,0
CR200056,43,Hyderabad,Business Owner,113777.61,665,12,Personal,1189641.11,0,0.846,0
CR200057,36,Bangalore,Salaried,93459.58,628,36,Business Expansion,607021.62,0,0.16,0
CR200058,38,Delhi,Salaried,98734.77,635,24,Home Renovation,1185738.28,0,0.522,0
CR200059,35,Pune,Business Owner,40348.03,537,12,Debt Consolidation,285632.39,0,0.602,0
CR200060,40,Chennai,Self-Employed,15000.0,555,60,Personal,165202.65,0,0.156,0
CR200061,40,Hyderabad,Salaried,35536.78,620,24,Home Renovation,119370.78,4,0.374,1
CR200062,46,Pune,Business Owner,175815.67,646,36,Debt Consolidation,1185270.36,1,0.234,0
CR200063,39,Chennai,Freelancer,38367.12,687,12,Vehicle,435822.45,0,0.85,1
CR200064,34,Kolkata,Salaried,86774.41,526,48,Education,498683.87,0,0.162,0
CR200065,23,Hyderabad,Salaried,96035.08,534,36,Debt Consolidation,576942.54,1,0.219,0
CR200066,36,Chennai,Salaried,76723.22,627,48,Medical,393783.56,0,0.108,0
CR200067,27,Bangalore,Salaried,157048.18,647,12,Vehicle,878080.33,1,0.543,0
CR200068,24,Delhi,Self-Employed,38941.09,616,36,Personal,538350.26,1,0.401,0
CR200069,42,Bangalore,Self-Employed,84915.96,664,36,Personal,1130065.2,0,0.351,0
CR200070,30,Pune,Salaried,59928.13,611,60,Home Renovation,809662.84,0,0.239,0
CR200071,26,Bangalore,Self-Employed,15000.0,531,36,Debt Consolidation,86907.24,1,0.235,0
CR200072,30,Hyderabad,Salaried,24567.66,502,36,Vehicle,142088.17,0,0.115,1
CR200073,31,Kolkata,Freelancer,51400.72,533,12,Home Renovation,573167.44,0,0.85,1
CR200074,48,Delhi,Salaried,19501.07,699,48,Business Expansion,100633.74,2,0.236,0
CR200075,21,Mumbai,Salaried,24073.48,517,84,Medical,86658.25,1,0.131,0
CR200076,23,Delhi,Salaried,30014.97,546,60,Education,129829.72,1,0.141,0
CR200077,41,Ahmedabad,Business Owner,53688.31,605,60,Personal,230407.42,0,0.073,0
CR200078,31,Mumbai,Self-Employed,80395.62,631,36,Personal,773547.29,0,0.287,0
CR200079,36,Hyderabad,Salaried,55876.36,645,48,Vehicle,731008.25,0,0.267,0
CR200080,40,Kolkata,Salaried,31329.7,619,12,Vehicle,242248.21,2,0.729,0
CR200081,44,Bangalore,Salaried,84147.29,607,24,Business Expansion,444686.72,1,0.314,0
CR200082,49,Delhi,Freelancer,52963.53,607,36,Vehicle,704406.49,0,0.363,0
CR200083,37,Hyderabad,Business Owner,39501.9,676,60,Personal,498190.3,1,0.244,0
CR200084,41,Bangalore,Freelancer,42431.12,583,24,Home Renovation,138733.53,0,0.087,0
CR200085,21,Hyderabad,Salaried,90159.18,538,48,Home Renovation,386338.97,2,0.14,0
CR200086,32,Delhi,Salaried,57604.98,598,36,Education,758160.05,1,0.369,0
CR200087,29,Pune,Salaried,38439.51,515,84,Business Expansion,169505.66,0,0.044,1
CR200088,58,Bangalore,Business Owner,54234.84,657,84,Vehicle,552625.18,2,0.208,0
CR200089,44,Ahmedabad,Salaried,100558.6,627,36,Vehicle,1194978.31,0,0.301,0
CR200090,27,Bangalore,Self-Employed,40954.79,553,12,Personal,401533.45,3,0.85,0
CR200091,45,Kolkata,Freelancer,65625.67,606,12,Education,703968.91,2,0.85,0
CR200092,47,Bangalore,Salaried,35377.65,566,24,Personal,268716.95,0,0.356,0
CR200093,27,Kolkata,Salaried,42391.82,593,48,Education,385566.78,1,0.256,0
CR200094,38,Mumbai,Salaried,65540.18,572,48,Business Expansion,315969.7,0,0.106,0
CR200095,28,Kolkata,Salaried,34962.24,618,36,Business Expansion,161146.73,0,0.139,0
CR200096,44,Mumbai,Business Owner,78689.49,583,84,Personal,362265.88,0,0.08,0
CR200097,40,Hyderabad,Freelancer,15000.0,556,24,Personal,165980.61,2,0.516,0
CR200098,39,Ahmedabad,Salaried,97121.47,595,24,Vehicle,1144897.41,2,0.609,1
CR200099,35,Ahmedabad,Salaried,70844.15,573,36,Vehicle,719606.23,1,0.319,0
CR200100,40,Kolkata,Salaried,129088.5,596,48,Medical,862633.18,0,0.138,0
CR200101,34,Bangalore,Salaried,59172.01,620,12,Personal,314942.1,0,0.481,1
CR200102,28,Bangalore,Salaried,37121.5,529,12,Business Expansion,189834.86,0,0.463,0
CR200103,29,Mumbai,Salaried,34878.4,584,24,Personal,362963.71,0,0.438,0
CR200104,29,Mumbai,Salaried,45530.13,668,12,Personal,525784.68,0,0.85,0
CR200105,33,Delhi,Salaried,91399.49,557,36,Business Expansion,808180.48,0,0.198,0
CR200106,35,Mumbai,Business Owner,67068.18,561,60,Debt Consolidation,636588.31,1,0.229,0
CR200107,24,Chennai,Self-Employed,15000.0,544,12,Personal,146471.96,1,0.85,0
CR200108,32,Mumbai,Self-Employed,65740.09,579,24,Education,836310.13,0,0.569,1
CR200109,42,Chennai,Self-Employed,174784.97,649,12,Vehicle,2011120.9,2,0.85,0
CR200110,39,Chennai,Business Owner,77821.85,568,24,Debt Consolidation,477769.91,1,0.321,0
CR200111,35,Chennai,Salaried,25744.95,597,60,Personal,357682.03,2,0.381,0
CR200112,34,Kolkata,Business Owner,40538.64,528,24,Personal,396101.05,0,0.439,0
CR200113,32,Kolkata,Salaried,66279.69,561,60,Personal,496237.58,1,0.163,1
CR200114,50,Pune,Self-Employed,21986.28,560,12,Personal,234842.13,3,0.85,0
CR200115,32,Ahmedabad,Salaried,84579.82,524,36,Vehicle,873366.11,2,0.398,0
CR200116,21,Pune,Salaried,31117.38,513,24,Personal,433212.3,1,0.625,0
CR200117,39,Hyderabad,Freelancer,37645.35,575,48,Vehicle,167335.27,1,0.166,0
CR200118,35,Mumbai,Salaried,41312.25,554,36,Medical,530450.45,4,0.518,0
CR200119,39,Delhi,Self-Employed,56749.8,529,84,Education,759751.2,2,0.294,0
CR200120,39,Hyderabad,Salaried,98952.53,635,60,Business Expansion,343115.18,3,0.21,0
CR200121,46,Chennai,Salaried,54890.95,576,12,Medical,438596.71,0,0.703,0
CR200122,21,Mumbai,Business Owner,43180.38,532,24,Vehicle,359683.31,1,0.421,1
CR200123,32,Kolkata,Self-Employed,35711.2,597,36,Business Expansion,217953.16,1,0.198,0
CR200124,31,Ahmedabad,Salaried,55509.76,579,84,Vehicle,476191.06,2,0.218,0
CR200125,25,Pune,Business Owner,24335.06,517,24,Education,124893.41,0,0.225,0
CR200126,31,Mumbai,Freelancer,20128.47,492,48,Business Expansion,255684.79,2,0.384,0
CR200127,37,Pune,Freelancer,71233.02,625,24,Business Expansion,683406.7,0,0.354,0
CR200128,38,Mumbai,Self-Employed,54950.48,619,12,Debt Consolidation,320413.81,1,0.49,0
CR200129,35,Kolkata,Salaried,94100.25,618,48,Home Renovation,1052062.9,1,0.265,0
CR200130,25,Mumbai,Salaried,107414.2,613,24,Personal,1240893.85,3,0.593,0
CR200131,38,Hyderabad,Salaried,32379.09,618,24,Personal,159284.05,0,0.251,0
CR200132,44,Chennai,Salaried,51534.06,621,36,Business Expansion,514865.55,0,0.312,0
CR200133,21,Kolkata,Salaried,70652.28,530,24,Personal,298438.25,0,0.143,0
CR200134,36,Pune,Salaried,60102.45,567,60,Vehicle,495738.3,0,0.176,0
CR200135,22,Mumbai,Self-Employed,62414.38,502,12,Business Expansion,754936.59,0,0.85,0
CR200136,24,Bangalore,Salaried,63931.43,526,36,Vehicle,593299.01,1,0.33,0
CR200137,53,Chennai,Business Owner,105535.92,645,48,Vehicle,1234183.25,0,0.237,0
CR200138,37,Pune,Business Owner,17350.9,627,24,Education,134351.27,0,0.283,0
CR200139,25,Mumbai,Salaried,83045.89,594,24,Debt Consolidation,1029443.58,1,0.606,0
CR200140,52,Mumbai,Freelancer,79191.33,530,60,Personal,426855.07,0,0.05,0
CR200141,34,Bangalore,Self-Employed,17062.94,546,84,Vehicle,166367.57,1,0.135,0
CR200142,27,Chennai,Salaried,15000.0,548,36,Vehicle,115106.79,0,0.194,0
CR200143,47,Ahmedabad,Salaried,87728.7,590,24,Personal,726508.26,0,0.372,0
CR200144,46,Delhi,Salaried,62421.7,544,36,Debt Consolidation,842026.38,2,0.49,1
CR200145,30,Kolkata,Salaried,89535.18,628,24,Home Renovation,639862.77,1,0.306,0
CR200146,25,Pune,Salaried,25010.69,512,84,Business Expansion,293574.05,1,0.239,0
CR200147,31,Delhi,Salaried,69278.14,634,36,Personal,670394.52,1,0.304,1
CR200148,40,Mumbai,Self-Employed,40363.94,561,12,Education,314820.18,2,0.712,0
CR200149,34,Ahmedabad,Freelancer,44680.43,615,12,Vehicle,558443.48,0,0.85,0
CR200150,30,Kolkata,Salaried,23877.36,586,48,Education,304585.85,0,0.242,0
CR200151,21,Chennai,Freelancer,42760.24,459,84,Business Expansion,583921.43,0,0.144,1
CR200152,37,Pune,Freelancer,29183.5,682,36,Vehicle,230973.91,0,0.242,1
CR200153,46,Ahmedabad,Salaried,65839.9,616,48,Personal,798981.92,1,0.292,0
CR200154,37,Mumbai,Self-Employed,48967.47,593,24,Personal,489056.0,2,0.561,0
CR200155,38,Chennai,Salaried,29526.78,600,36,Vehicle,225181.33,0,0.218,0
CR200156,33,Ahmedabad,Salaried,65742.17,671,12,Personal,429541.2,0,0.558,0
CR200157,43,Bangalore,Salaried,86129.45,593,12,Personal,366719.79,1,0.401,0
CR200158,43,Pune,Salaried,226284.71,631,12,Medical,2405790.22,0,0.85,1
CR200159,26,Delhi,Salaried,36738.28,659,60,Home Renovation,349552.5,0,0.13,0
CR200160,36,Ahmedabad,Business Owner,45769.97,560,48,Debt Consolidation,204874.87,2,0.15,0
CR200161,21,Ahmedabad,Salaried,59553.56,630,12,Vehicle,481808.79,1,0.73,0
CR200162,49,Delhi,Self-Employed,131017.85,647,24,Education,566525.51,0,0.194,0
CR200163,32,Bangalore,Business Owner,114945.56,626,24,Education,1214828.76,1,0.533,0
CR200164,49,Pune,Salaried,73588.48,669,36,Personal,318344.49,0,0.101,0
CR200165,35,Delhi,Freelancer,102007.54,623,48,Education,532474.94,1,0.202,1
CR200166,44,Hyderabad,Salaried,104099.56,587,12,Vehicle,555414.53,0,0.43,0
CR200167,35,Hyderabad,Self-Employed,25670.62,529,36,Home Renovation,204729.09,0,0.233,0
CR200168,28,Kolkata,Freelancer,31522.31,570,48,Debt Consolidation,145432.47,2,0.24,0
CR200169,26,Delhi,Salaried,15000.0,572,36,Vehicle,169298.58,0,0.327,1
CR200170,46,Chennai,Salaried,61172.73,623,24,Vehicle,791338.58,1,0.632,0
CR200171,37,Mumbai,Salaried,72197.64,586,12,Personal,324418.17,0,0.333,0
CR200172,23,Hyderabad,Freelancer,106682.46,570,24,Home Renovation,1235241.95,0,0.528,0
CR200173,26,Hyderabad,Salaried,21252.95,542,12,Personal,280391.22,1,0.85,0
CR200174,38,Kolkata,Salaried,21493.3,556,84,Personal,251198.62,1,0.139,0
CR200175,26,Delhi,Salaried,71617.57,597,84,Personal,508674.17,1,0.183,0
CR200176,42,Chennai,Business Owner,206623.12,655,24,Medical,710594.92,0,0.14,0
CR200177,47,Delhi,Self-Employed,170139.09,611,24,Debt Consolidation,2143043.4,1,0.576,1
CR200178,22,Chennai,Business Owner,44546.07,597,60,Business Expansion,268195.06,1,0.118,0
CR200179,42,Ahmedabad,Salaried,143430.09,673,60,Personal,929859.13,0,0.065,0
CR200180,41,Pune,Business Owner,94475.45,633,48,Personal,459334.33,0,0.145,0
CR200181,21,Chennai,Salaried,80048.66,537,12,Home Renovation,586982.64,0,0.586,0
CR200182,21,Bangalore,Salaried,25840.92,548,12,Vehicle,181054.68,4,0.807,1
CR200183,21,Mumbai,Self-Employed,15800.67,577,24,Personal,96912.82,1,0.308,0
CR200184,44,Ahmedabad,Salaried,60871.34,566,12,Education,363022.01,0,0.545,0
CR200185,22,Delhi,Salaried,64273.28,652,12,Personal,633220.64,0,0.836,1
CR200186,27,Bangalore,Salaried,58964.76,588,24,Business Expansion,360389.81,1,0.265,1
CR200187,26,Ahmedabad,Salaried,77276.62,591,12,Home Renovation,877213.58,1,0.85,0
CR200188,25,Bangalore,Freelancer,36533.7,530,36,Vehicle,432504.51,1,0.425,0
CR200189,29,Delhi,Salaried,73831.24,607,24,Debt Consolidation,353395.88,1,0.265,0
CR200190,27,Pune,Salaried,37569.27,561,84,Business Expansion,518885.17,2,0.238,0
CR200191,36,Hyderabad,Salaried,39962.57,551,36,Business Expansion,364607.12,1,0.275,0
CR200192,36,Pune,Salaried,91021.46,616,36,Vehicle,852070.46,1,0.292,1
CR200193,36,Hyderabad,Salaried,51784.7,504,48,Personal,703834.9,0,0.323,0
CR200194,33,Ahmedabad,Business Owner,123701.63,565,12,Business Expansion,1048279.54,1,0.759,0
CR200195,27,Hyderabad,Salaried,116897.26,572,84,Personal,1219045.78,0,0.161,0
CR200196,46,Pune,Business Owner,210509.15,648,24,Business Expansion,1506738.82,0,0.256,0
CR200197,40,Pune,Self-Employed,58860.69,604,24,Personal,389737.26,1,0.316,0
CR200198,34,Delhi,Freelancer,55662.35,692,84,Debt Consolidation,652762.12,1,0.23,0
CR200199,26,Ahmedabad,Salaried,28667.74,612,24,Personal,330690.29,0,0.483,0
CR200200,25,Chennai,Salaried,61990.11,568,36,Debt Consolidation,651580.37,0,0.254,0
CR200201,26,Delhi,Self-Employed,48371.83,574,48,Vehicle,406059.24,0,0.155,0
CR200202,37,Hyderabad,Salaried,57435.97,607,60,Home Renovation,332170.32,0,0.087,0
CR200203,21,Ahmedabad,Self-Employed,119080.3,604,36,Personal,1484029.28,3,0.488,0
CR200204,36,Delhi,Salaried,15000.0,534,48,Medical,65258.97,1,0.108,1
CR200205,25,Delhi,Self-Employed,100823.48,582,84,Debt Consolidation,1041633.67,1,0.202,0
CR200206,46,Kolkata,Salaried,93655.29,668,12,Personal,432508.76,0,0.429,0
CR200207,30,Pune,Freelancer,70474.64,630,60,Personal,814125.59,1,0.242,0
CR200208,37,Mumbai,Salaried,75741.95,598,12,Education,833180.32,1,0.85,1
CR200209,30,Chennai,Business Owner,94929.73,603,36,Personal,737263.18,1,0.255,0
CR200210,23,Hyderabad,Salaried,50518.15,601,36,Personal,630651.22,0,0.338,0
CR200211,21,Chennai,Salaried,69474.66,623,36,Home Renovation,572360.94,1,0.237,0
CR200212,29,Delhi,Business Owner,34070.33,616,48,Debt Consolidation,334480.99,0,0.253,0
CR200213,22,Bangalore,Salaried,103729.9,520,24,Home Renovation,508950.2,1,0.256,1
CR200214,24,Hyderabad,Self-Employed,54471.71,599,36,Education,203075.93,0,0.064,0
CR200215,47,Hyderabad,Salaried,120810.91,681,84,Debt Consolidation,1009673.24,2,0.157,0
CR200216,32,Bangalore,Salaried,85418.97,577,36,Home Renovation,1060862.23,0,0.358,1
CR200217,47,Ahmedabad,Salaried,70705.4,679,12,Medical,272409.55,2,0.435,0
CR200218,35,Chennai,Salaried,82775.75,690,48,Personal,787615.26,0,0.223,0
CR200219,31,Chennai,Salaried,71979.46,638,60,Debt Consolidation,925226.47,1,0.299,0
CR200220,52,Delhi,Salaried,38249.11,645,12,Debt Consolidation,115735.43,1,0.351,0
CR200221,47,Mumbai,Self-Employed,60740.5,580,84,Personal,555656.73,1,0.138,0
CR200222,35,Mumbai,Salaried,28538.5,562,12,Vehicle,274416.24,1,0.85,1
CR200223,41,Mumbai,Self-Employed,65332.43,620,24,Education,628276.16,0,0.364,0
CR200224,21,Chennai,Salaried,52373.05,621,60,Personal,559395.1,1,0.197,0
CR200225,26,Chennai,Business Owner,51630.32,524,84,Personal,252222.92,1,0.142,0
CR200226,21,Ahmedabad,Salaried,15880.93,485,48,Personal,103961.18,1,0.138,0
CR200227,34,Hyderabad,Salaried,86352.01,586,48,Education,676495.62,0,0.118,0
CR200228,31,Chennai,Freelancer,15000.0,571,24,Debt Consolidation,148204.29,0,0.451,0
CR200229,55,Kolkata,Salaried,155565.38,686,12,Vehicle,1763988.88,0,0.85,0
CR200230,34,Hyderabad,Salaried,93350.11,596,36,Personal,954809.26,0,0.25,0
CR200231,36,Chennai,Self-Employed,116577.88,554,36,Personal,1452973.09,0,0.36,0
CR200232,29,Bangalore,Salaried,87953.02,640,24,Vehicle,1046528.74,0,0.537,0
CR200233,44,Pune,Salaried,38502.4,606,48,Vehicle,448052.57,0,0.254,0
CR200234,25,Delhi,Salaried,66437.64,584,24,Medical,778234.66,1,0.551,0
CR200235,44,Chennai,Salaried,43604.6,562,60,Personal,535463.61,0,0.186,0
CR200236,21,Chennai,Salaried,56529.04,546,24,Education,212255.77,0,0.122,0
CR200237,39,Pune,Salaried,52230.73,590,48,Vehicle,376537.96,0,0.109,0
CR200238,39,Chennai,Salaried,91624.97,627,12,Debt Consolidation,502505.87,0,0.412,0
CR200239,21,Chennai,Salaried,31375.23,587,24,Home Renovation,394291.23,1,0.618,0
CR200240,30,Pune,Self-Employed,99697.67,574,36,Home Renovation,1084098.32,0,0.311,0
CR200241,44,Hyderabad,Salaried,70933.02,599,36,Education,683837.11,0,0.242,1
CR200242,35,Hyderabad,Salaried,78993.05,565,36,Personal,915007.05,0,0.359,1
CR200243,41,Kolkata,Salaried,78082.98,567,12,Personal,992373.23,2,0.85,1
CR200244,40,Kolkata,Salaried,72260.14,710,84,Personal,574383.03,1,0.163,0
CR200245,37,Delhi,Freelancer,101996.43,554,36,Debt Consolidation,1189940.02,0,0.299,0
CR200246,29,Chennai,Salaried,50200.57,544,36,Medical,286547.36,0,0.18,0
CR200247,37,Pune,Business Owner,88048.9,602,84,Home Renovation,589730.64,0,0.088,0
CR200248,33,Pune,Salaried,44756.34,505,60,Vehicle,415712.49,0,0.123,1
CR200249,29,Pune,Salaried,65959.04,609,60,Education,845528.04,1,0.313,0
CR200250,38,Chennai,Self-Employed,137592.78,674,24,Education,1242378.87,4,0.534,0
CR200251,46,Mumbai,Self-Employed,115132.63,623,84,Vehicle,1078133.8,1,0.14,0
CR200252,21,Pune,Salaried,182527.35,603,60,Home Renovation,1418410.29,0,0.166,0
CR200253,21,Bangalore,Salaried,15000.0,600,36,Personal,98941.11,0,0.156,0
CR200254,43,Bangalore,Salaried,38393.72,545,48,Business Expansion,284397.93,0,0.193,0
CR200255,47,Bangalore,Self-Employed,49754.66,654,24,Education,371620.7,0,0.35,0
CR200256,34,Hyderabad,Self-Employed,74975.81,619,36,Personal,1045963.86,0,0.386,0
CR200257,23,Hyderabad,Self-Employed,94281.95,560,24,Home Renovation,1097883.53,0,0.458,0
CR200258,29,Mumbai,Salaried,35064.1,519,12,Personal,243746.17,1,0.598,1
CR200259,32,Hyderabad,Self-Employed,85637.07,566,60,Home Renovation,1013807.75,0,0.161,0
CR200260,39,Ahmedabad,Salaried,53654.29,630,48,Education,476816.99,0,0.191,0
CR200261,35,Kolkata,Business Owner,77292.84,632,12,Business Expansion,890102.28,1,0.85,0
CR200262,42,Chennai,Self-Employed,81766.1,611,36,Home Renovation,1097696.18,1,0.385,0
CR200263,47,Ahmedabad,Self-Employed,48933.69,622,24,Education,455059.65,0,0.403,0
CR200264,42,Kolkata,Salaried,71132.66,588,12,Home Renovation,645028.61,1,0.81,0
CR200265,31,Ahmedabad,Freelancer,84256.95,566,24,Personal,740669.62,1,0.386,0
CR200266,23,Bangalore,Self-Employed,42636.67,523,24,Personal,153628.55,1,0.167,0
CR200267,21,Pune,Self-Employed,24265.16,566,24,Vehicle,248755.89,2,0.563,0
CR200268,52,Kolkata,Salaried,102069.94,627,48,Vehicle,1219256.08,1,0.28,0
CR200269,57,Kolkata,Self-Employed,87117.91,665,60,Vehicle,1053987.8,0,0.192,0
CR200270,29,Delhi,Self-Employed,103938.02,611,60,Personal,460257.14,2,0.168,0
CR200271,46,Pune,Salaried,135430.34,643,12,Education,1068071.9,1,0.731,1
CR200272,26,Mumbai,Freelancer,152714.3,539,36,Personal,996075.91,2,0.277,1
CR200273,40,Ahmedabad,Self-Employed,126741.87,585,24,Home Renovation,1084858.09,0,0.392,0
CR200274,42,Ahmedabad,Business Owner,39760.74,578,12,Education,456071.17,1,0.85,0
CR200275,38,Bangalore,Salaried,86340.76,599,24,Business Expansion,819675.12,3,0.549,0
CR200276,31,Hyderabad,Salaried,18149.08,511,60,Vehicle,227763.23,0,0.188,0
CR200277,32,Pune,Salaried,34486.36,572,48,Business Expansion,275284.69,1,0.244,0
CR200278,35,Pune,Salaried,75911.29,561,24,Personal,231966.58,1,0.217,0
CR200279,35,Delhi,Business Owner,82323.29,541,60,Debt Consolidation,467785.92,0,0.129,0
CR200280,32,Kolkata,Salaried,33447.82,581,60,Business Expansion,295798.6,0,0.174,0
CR200281,32,Chennai,Salaried,57364.5,558,12,Medical,516912.29,1,0.837,0
CR200282,39,Mumbai,Salaried,90584.41,607,36,Debt Consolidation,1262197.75,1,0.431,0
CR200283,31,Chennai,Freelancer,79481.34,701,48,Vehicle,486181.35,0,0.134,0
CR200284,31,Hyderabad,Salaried,32715.02,547,36,Home Renovation,377015.63,0,0.299,0
CR200285,44,Pune,Freelancer,56926.58,498,36,Personal,501272.5,0,0.222,0
CR200286,29,Pune,Freelancer,38030.86,520,48,Business Expansion,417292.41,1,0.297,0
CR200287,57,Mumbai,Salaried,55159.24,609,24,Business Expansion,623770.37,2,0.537,0
CR200288,21,Mumbai,Salaried,40010.46,591,24,Debt Consolidation,531206.86,2,0.639,0
CR200289,21,Delhi,Salaried,43725.76,542,12,Personal,409176.41,0,0.827,1
CR200290,38,Pune,Self-Employed,37067.89,533,12,Personal,466819.62,1,0.85,0
CR200291,28,Chennai,Salaried,77577.9,521,48,Personal,547439.65,1,0.181,0
CR200292,40,Kolkata,Salaried,53487.87,559,36,Home Renovation,322236.38,0,0.126,0
CR200293,43,Kolkata,Salaried,38526.9,530,24,Vehicle,156667.21,1,0.186,0
CR200294,35,Mumbai,Self-Employed,124503.14,574,48,Medical,1674948.35,0,0.31,0
CR200295,21,Ahmedabad,Salaried,57146.32,597,12,Business Expansion,479345.9,1,0.735,0
CR200296,21,Bangalore,Self-Employed,72711.48,522,48,Home Renovation,713698.46,0,0.225,0
CR200297,22,Chennai,Self-Employed,68477.08,541,60,Business Expansion,694524.9,1,0.199,0
CR200298,44,Delhi,Self-Employed,27897.96,636,48,Vehicle,210531.73,0,0.132,0
CR200299,41,Kolkata,Freelancer,53909.77,531,48,Personal,493603.66,0,0.147,0
